Date,BBCA.JK,TLKM.JK
2021-07-15,5239.57763671875,2531.379638671875
2021-07-16,5235.29345703125,2563.7294921875
2021-07-19,5145.32568359375,2604.166748046875
2021-07-21,5149.6103515625,2596.0791015625
2021-07-22,5273.8515625,2636.5166015625
2021-07-23,5171.03125,2563.7294921875
2021-07-26,5145.32568359375,2579.904541015625
2021-07-27,5145.32568359375,2644.60400390625
2021-07-28,5123.904296875,2579.904541015625
2021-07-29,5175.314453125,2612.254150390625
2021-07-30,5115.33642578125,2620.341552734375
2021-08-02,5106.76806640625,2676.9541015625
2021-08-03,5265.28369140625,2693.12890625
2021-08-04,5243.86181640625,2725.478759765625
2021-08-05,5398.0927734375,2701.21630859375
2021-08-06,5278.13623046875,2685.04150390625
2021-08-09,5312.40966796875,2628.42919921875
2021-08-10,5398.0927734375,2612.254150390625
2021-08-12,5398.0927734375,2709.303955078125
2021-08-13,5492.34619140625,2668.866455078125
2021-08-16,5500.9140625,2701.21630859375
2021-08-18,5655.1455078125,2765.916259765625
2021-08-19,5655.1455078125,2741.65380859375
2021-08-20,5655.1455078125,2749.7412109375
2021-08-23,5646.5771484375,2782.09130859375
2021-08-24,5655.1455078125,2749.7412109375
2021-08-25,5655.1455078125,2725.478759765625
2021-08-26,5620.87158203125,2717.391357421875
2021-08-27,5578.0302734375,2685.04150390625
2021-08-30,5625.15673828125,2749.7412109375
2021-08-31,5612.3037109375,2749.7412109375
2021-09-01,5625.15673828125,2701.21630859375
2021-09-02,5603.7353515625,2725.478759765625
2021-09-03,5655.1455078125,2741.65380859375
2021-09-06,5633.724609375,2741.65380859375
2021-09-07,5629.4404296875,2733.56640625
2021-09-08,5518.0517578125,2693.12890625
2021-09-09,5629.4404296875,2741.65380859375
2021-09-10,5586.59814453125,2693.12890625
2021-09-13,5616.587890625,2709.303955078125
2021-09-14,5608.02001953125,2782.09130859375
2021-09-15,5565.177734375,2790.1787109375
2021-09-16,5569.4619140625,2782.09130859375
2021-09-17,5586.59814453125,2854.878662109375
